dist_20_0,dist_16_0,dist_12_0,dist_8_0,dist_4_0,dist_20_16,dist_16_12,dist_12_8,dist_8_4,label
49.02478412003826,31.035207415936227,49.44355415259348,110.10100988590469,129.158331012885,26.182262449099497,26.409017492509065,61.23575864377021,19.586998941370368,0
48.290193330197475,35.37084843134078,49.50175898692463,99.34460579376652,136.79050720381932,27.421203859525786,25.415429106975203,50.80075853905838,37.51880812450527,0
50.664791581188545,42.41203723025683,56.252179636111705,121.06622539348179,136.80208856631236,27.05659532584188,21.351022431427328,66.15771800256118,18.688934900789608,0
62.12806835230516,51.62675701337759,69.48750912813573,110.45687222308835,166.66601789630576,21.67107274684105,22.792934353165265,42.1557147777357,56.25513051307186,0
55.75666822828097,40.38443994831535,49.2968629673085,103.81913242648487,156.37486135968368,24.334536543634925,20.205176410930353,55.20799495540771,52.65294045992966,0
58.18890952621394,41.25852069777631,45.82936052085818,77.6155245170833,153.94482457328834,28.22533881969061,19.089056324022106,32.85756076105422,76.39469452849355,0
64.0781805335588,49.85527094779946,55.31386521616314,86.7615586375052,156.95516081316217,24.41587826477759,24.29158637630972,35.09995829243593,72.5594889240587,0
65.2820359440823,47.84195137735124,49.9550712082064,81.81137201737735,159.72106061720382,28.968944953759607,24.576510612504162,34.9925674551942,82.51804971298347,0
66.90923484877476,53.37773050602554,56.115461585591746,100.26232874498413,150.11996129214862,28.98156947997144,19.421772114817372,46.45935538484447,58.62602598598182,0
51.79218473859218,36.47398268336571,39.84238233147719,91.26108575188715,140.887449971799,26.000723050122946,19.35508120252389,53.29304410489552,54.89234675988747,0
51.48132093190302,39.855739582154996,44.70838641000586,95.94703644777701,145.8474653199421,28.002234096249158,18.775796266251767,51.520570428774406,50.32852605502551,0
44.399416339514715,28.72945610317104,39.57620027138989,97.03236647477483,141.97906982009326,31.35530722555311,21.55240265453266,57.89149561868971,45.12506519484725,0
65.11623391676169,42.52321628335113,53.386184476156814,80.03175430689309,130.29492847264504,37.72075180740555,24.350561855031557,28.471322934941014,51.74226636788081,0
63.36866909245318,42.50174854045198,57.300312386833326,98.79128114353766,150.53213311861634,32.366442413320875,33.838843861497786,42.854673459248474,51.74632599351033,0
50.45969943562624,36.67279901012096,44.721474922305745,87.1854077368474,150.8732421294129,28.508494515049435,20.790562009802933,42.51913428942657,65.67519835812635,0
59.25248261056328,48.99952853783302,57.46481435339576,89.30708495141127,161.40362644011455,30.292989434722323,20.11549305344964,33.19278311161172,75.56309831397633,0
60.07297167647152,44.871869490736636,53.74839808809385,93.23527802321665,158.0183196709235,26.96871945866827,21.915763289724488,40.22660833993074,65.73785306530674,0
60.10340784976732,48.9085097886512,58.952721588430144,91.38866399335384,159.18904270177262,24.683889228793486,21.69194580039463,35.02839868281071,67.92203155820293,0
54.827757368607976,42.969742201244316,51.95319422882396,95.58355021790419,149.54681383061492,27.393853796182427,20.736278015427715,44.970047438627454,54.4546785613276,0
45.684880006704276,37.192491406061,45.46455929968804,95.11537121804639,147.69615726119346,30.119884555808824,18.751108731338817,50.0331088235643,52.5846488038161,0
52.86674553381618,46.944943407199,57.77085114502272,115.80357121719393,145.72934457405702,27.047506945720052,17.294281930469015,58.544981463674816,31.056576820252005,0
